STRAchieveLocalConfigure	1000	ผู้ชนะคือ...
STRAchieveLocalConfigure	1001	ผู้ที่ KO คู่แข่งเยอะที่สุดคือ...
STRAchieveLocalConfigure	1002	ผู้ที่สร้างดาเมจรวมสูงที่สุดคือ...
STRAchieveLocalConfigure	1003	ผู้ที่สร้างดาเมจครั้งเดียวสูงที่สุดคือ...
STRAchieveLocalConfigure	1004	ผู้ที่ล้มเยอะที่สุดคือ...
STRAchieveLocalConfigure	1005	ผู้ที่รับดาเมจเยอะที่สุดคือ...
STRAchieveLocalConfigure	1006	ผู้เล่นโชคร้ายที่สุดคือ...
STRAchieveLocalConfigure	1007	Super Star ครั้งที่ [color=#FCCA4C]{0}[/color] ของฉัน
STRAchieveLocalConfigure	1008	บันทึกภาพหน้าจอไปที่ {0}
STRAchieveLocalConfigure	2000	ซูเปอร์สตาร์ของเกมนี้
STRAchieveLocalConfigure	2001	จำนวน KO:
STRAchieveLocalConfigure	2002	ดาเมจรวม:
STRAchieveLocalConfigure	2003	ดาเมจสูงสุดใน PK ครั้งเดียว:
STRAchieveLocalConfigure	2004	จำนวนครั้งที่ล้มรวม:
STRAchieveLocalConfigure	2005	ดาเมจที่รับรวม:
STRAchieveLocalConfigure	2006	จำนวนกับดักที่เหยียบ:
STRAchieveLocalConfigure	2007	โอนเงินเยอะที่สุด
STRAchieveLocalConfigure	2008	จัดการ Boss คนสุดท้าย
STRAchieveLocalConfigure	2009	ฮีล HP สูงสุด
STRAchieveLocalConfigure	2010	เดินมากที่สุด
STRAchieveLocalConfigure	2011	เดินน้อยที่สุด
STRAchieveLocalConfigure	2012	สะสม Star Coin มากที่สุด
STRAchieveLocalConfigure	2013	ทอยได้ 6 ในการต่อสู้มากที่สุด
STRAchieveLocalConfigure	3001	จำนวน KO
STRAchieveLocalConfigure	3002	จำนวนครั้งที่ถูก KO
STRAchieveLocalConfigure	3003	ดาเมจที่สร้าง
STRAchieveLocalConfigure	3004	ดาเมจที่รับ
STRAchieveLocalConfigure	3005	HP ที่ฮีล
STRAchieveLocalConfigure	4000	Super Star
STRAchieveLocalConfigure	4001	ราชาแห่งสังเวียน
STRAchieveLocalConfigure	4002	จ้าวแห่งการทำลายล้าง
STRAchieveLocalConfigure	4003	หมัดเดียว KO
